,Country,City,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,VN,Hue,1605339821,16.47,107.6,69.8,100,75,16.47
1,NZ,Ahipara,1605340004,-35.17,173.17,58.03,75,0,-35.17
2,CA,Yellowknife,1605340004,62.46,-114.35,-4.0,83,90,62.46
3,US,Albany,1605339974,42.6,-73.97,44.01,69,52,42.6
4,MY,George Town,1605339974,5.41,100.34,89.6,79,20,5.41
5,CL,Punta Arenas,1605339844,-53.15,-70.92,37.4,86,40,-53.15
6,RU,Tarko-Sale,1605340004,64.92,77.78,-11.0,81,60,64.92
7,GA,Gamba,1605340004,-2.65,10.0,79.32,83,100,-2.65
8,RU,Tynda,1605340005,55.17,124.72,19.74,91,91,55.17
9,GL,Qaanaaq,1605340005,77.48,-69.36,1.58,81,91,77.48
10,SA,Faya,1605340005,18.39,42.45,69.8,35,0,18.39
11,AU,Swan Hill,1605340005,-35.34,143.55,77.07,28,0,-35.34
12,ZA,Bredasdorp,1605340005,-34.53,20.04,68.0,56,43,-34.53
13,PF,Atuona,1605340005,-9.8,-139.03,77.7,76,24,-9.8
14,US,Barrow,1605340005,71.29,-156.79,19.4,73,90,71.29
15,AR,Ushuaia,1605339708,-54.8,-68.3,35.6,93,75,-54.8
16,IS,Hofn,1605340006,64.25,-15.21,41.29,67,66,64.25
17,PK,Khipro,1605340006,25.83,69.38,90.37,14,0,25.83
18,RU,Severo-Kuril'sk,1605340006,50.68,156.12,44.35,92,100,50.68
19,CK,Avarua,1605340006,-21.21,-159.78,71.6,88,100,-21.21
20,GL,Upernavik,1605340006,72.79,-56.15,16.54,96,100,72.79
21,RU,Severnoye,1605340006,56.35,78.36,24.82,96,100,56.35
22,PF,Rikitea,1605340079,-23.12,-134.97,75.34,83,100,-23.12
23,RU,Evensk,1605340007,61.95,159.23,6.64,85,99,61.95
24,BR,Carutapera,1605340007,-1.2,-46.02,76.66,88,99,-1.2
25,KZ,Quryq,1605340007,43.2,51.65,44.87,59,2,43.2
26,PK,Kadhan,1605340007,24.48,68.99,89.11,19,0,24.48
27,VN,Kwang Binh,1605340007,17.48,106.6,72.21,74,100,17.48
28,US,Minot,1605339897,48.23,-101.3,36.0,59,20,48.23
29,RE,Saint-Philippe,1605340007,-21.36,55.77,77.0,78,90,-21.36
30,RU,Chokurdakh,1605340007,70.63,147.92,-16.04,90,76,70.63
31,GM,Nioro,1605340008,13.35,-15.75,70.48,29,0,13.35
